section,row,pui,order_id,payment_id,amount,error,reason
error,111,6280,,,,"Payment mode not found: ""Cheque""",
error,112,6341,,,,"Payment mode not found: ""Cheque""",
error,113,6299,,,,"Payment mode not found: ""Cheque""",
error,114,6404,,,,"Payment mode not found: ""Cheque""",
error,115,6538,,,,"Payment mode not found: ""Cheque""",
error,116,6438,,,,"Payment mode not found: ""Cheque""",
error,117,6473,,,,"Payment mode not found: ""Cheque""",
error,118,6537,,,,"Payment mode not found: ""NEFT / RTGS""",
error,119,6537,,,,"Payment mode not found: ""NEFT / RTGS""",
error,120,6271,,,,"Payment mode not found: ""Cheque""",
error,121,6272,,,,"Payment mode not found: ""Cheque""",
error,122,6283,,,,"Payment mode not found: ""Loan Payment""",
error,123,6596,,,,"Payment mode not found: ""Cash""",
error,124,6293,,,,"Payment mode not found: ""UPI / QR Code""",
error,125,6652,,,,"Payment mode not found: ""Cheque""",
error,126,6388,,,,"Payment mode not found: ""Loan Payment""",
error,127,6391,,,,"Payment mode not found: ""NEFT / RTGS""",
error,128,6392,,,,"Payment mode not found: ""NEFT / RTGS""",
error,129,6666,,,,"Payment mode not found: ""Loan Payment""",
error,130,6310,,,,"Payment mode not found: ""Cash""",
error,131,6550,,,,"Payment mode not found: ""Cash""",
error,132,6470,,,,"Payment mode not found: ""Cash""",
error,133,6590,,,,"Payment mode not found: ""Cash""",
error,134,6390,,,,"Payment mode not found: ""Cheque""",
error,135,5548,,,,"Payment mode not found: ""Cheque""",
error,136,6273,,,,"Payment mode not found: ""Cheque""",
error,137,6248,,,,"Payment mode not found: ""Cheque""",
error,138,6296,,,,"Payment mode not found: ""Cheque""",
error,139,6378,,,,"Payment mode not found: ""Cheque""",
error,140,6385,,,,"Payment mode not found: ""Cheque""",
error,141,6386,,,,"Payment mode not found: ""Cheque""",
error,142,6431,,,,"Payment mode not found: ""Cheque""",
error,143,6442,,,,"Payment mode not found: ""Cheque""",
error,144,6470,,,,"Payment mode not found: ""Cash""",
error,145,6375,,,,"Payment mode not found: ""Loan Payment""",
error,146,6601,,,,"Payment mode not found: ""Loan Payment""",
error,147,6263,,,,"Payment mode not found: ""Cheque""",
error,148,6033,,,,"Payment mode not found: ""Cheque""",
error,149,6427,,,,"Payment mode not found: ""Cheque""",
error,150,6295,,,,"Payment mode not found: ""Cheque""",
error,151,6464,,,,"Payment mode not found: ""Cheque""",
error,152,6274,,,,"Payment mode not found: ""Cheque""",
error,153,5167,,,,"Payment mode not found: ""Loan Payment""",
error,154,6574,,,,"Payment mode not found: ""Cheque""",
error,155,6620,,,,"Payment mode not found: ""Cheque""",
error,156,6265,,,,"Payment mode not found: ""Cash""",
error,157,6465,,,,"Payment mode not found: ""UPI / QR Code""",
error,158,6302,,,,"Payment mode not found: ""Cheque""",
error,159,6361,,,,"Payment mode not found: ""Cheque""",
error,160,6564,,,,"Payment mode not found: ""Cheque""",
error,161,6557,,,,"Payment mode not found: ""Cheque""",
