order_number,order_date,serial_number,product_name,item_type,registration_no
4025,22-04-2025,RSEQTG4140425229604,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEQTG4140425229594,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,SYS11911SC23649,SOLAR YAAN 8.0 KW,Inverter,GUJ/RT/RES/10186743
4029,05-03-2025,WS02249031598561,WAAREE NON DCR BIFACIAL 550 WP,Solar Panel,GUJ/RT/RES/10176793
4029,05-03-2025,SYS1191161B9649,SOLAR YAAN 3.3 KW,Inverter,GUJ/RT/RES/10176793
